time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,81.54258776308353,-51.51693546757013,130.08392830985798,184.16023335085305,-936.0616846366811,133.4393921706627,-0.03878633221163872,-0.018278339191504213,-0.7095378308434369,0.7033616348308737,-0.022835204686837994,0.01158427593396711,0.6389045491428519,0.7688597629363663
0.05,81.46030624473188,-51.46625578503241,130.12645987933618,185.9816071969063,-936.2746687741135,133.20276783392373,-0.0387949737734038,-0.018309872397542386,-0.7099028959248707,0.7029918754439407,-0.010700465016831289,0.017176904126710395,0.6419033827575344,0.7665184284917614
0.05,81.36671172795091,-51.45680903254152,130.1113854018662,187.9718709857902,-936.6864883516123,133.2856985624051,-0.038322449662579125,-0.018047295920413306,-0.7100331177552394,0.70289306203191,-0.012681107750724062,0.003929910130920464,0.6196851346159622,0.7847382233895418
0.05,81.21664401504712,-51.37043477257326,130.19005873057202,191.38432198887946,-936.6812512716843,133.2189551088675,-0.039362199689713065,-0.018827807210241757,-0.710110098988072,0.7027373465430679,-0.0072187246719431376,0.009352789195737931,0.6145513169783742,0.788788370951624
0.05,81.13196680826894,-51.37875120145375,130.18980750885407,192.5230345732912,-936.4167467888709,133.31308488857917,-0.039848178394929094,-0.019050380722018218,-0.7098898424240058,0.7029264664928847,-0.0169508273804573,0.011065274414622305,0.6315705907356037,0.775054074288451
0.05,78.35742172363466,-51.421008791235025,130.1989119867833,196.20423874032687,-936.1073231655406,133.40314561608915,-0.03972998245579906,-0.018650260651030103,-0.7093900523379989,0.7034482567435943,-0.022460217665910026,0.012502331229659946,0.6412002375591831,0.7669429481325655
0.05,76.9718309346726,-51.43162486718819,130.1626178891019,196.21393186707235,-936.0383712203926,133.3932457804325,-0.03984396065963934,-0.01883582360095065,-0.7094731690866177,0.7033530357469274,-0.022473777122872057,0.012948334183137018,0.6409649819543072,0.7671317760932787
0.05,71.58616668942881,-51.4556053337945,130.20761979942571,196.42082958115725,-936.300098944173,133.32897768708534,-0.04065500886790995,-0.01959623855089847,-0.7093233069073627,0.7034369936011396,-0.018054738154512088,0.011050570757301715,0.6470271355751845,0.7621730755842021
0.05,70.54018606572512,-51.475246630675166,130.20325922399024,196.2953520709415,-936.2002103518257,133.37862852543464,-0.03772301710081907,-0.018834266456428342,-0.7123268248576242,0.700580287316247,-0.022106422973529022,0.012470635634327742,0.6419780810846798,0.7663027683083389
0.05,69.84535057416696,-51.400869116022555,130.19502577364483,196.1873996048813,-936.3915473271761,133.35838952708397,-0.039095366135021514,-0.018208656794740916,-0.7096320464996778,0.7032512749687548,-0.021598988684232122,0.011799604602518887,0.6414169856444798,0.7667975636018882
0.05,69.83170835967161,-51.41141929809561,130.1647149999462,196.14675783300248,-936.4413330143918,133.33628926852333,-0.03928167040024619,-0.018494448788751457,-0.7095928444897225,0.7032729916494386,-0.021513721558314942,0.011301871194154253,0.6417445363701125,0.7665333505669089
0.05,67.40050672828468,-51.42594511447503,130.2043214069579,195.56914812947053,-936.6842359707318,133.33933887059044,-0.040331711161833796,-0.019471582589607513,-0.7094834139152463,0.7032975870322477,-0.01764158354916087,0.009473579438064867,0.6525254494709007,0.7575021872016658
